municipio;lat;lng;url_maps
SANTISO;42.86979436648806;-8.053971487765844;https://www.google.com/maps?q=...842.86979436648806,-8.053971487765844
SANXENXO;42.41986243939749;-8.819876074087494;https://www.google.com/maps?q=...842.41986243939749,-8.819876074087494
SARREAUS;42.11720548663372;-7.597539783611501;https://www.google.com/maps?q=...842.11720548663372,-7.597539783611501
SARRIA;42.76615671114038;-7.443968640129935;https://www.google.com/maps?q=...842.76615671114038,-7.443968640129935
SILLEDA;42.6787510180588;-8.264398075160706;https://www.google.com/maps?q=...842.6787510180588,-8.264398075160706
SOBER;42.43368573600263;-7.558145011562892;https://www.google.com/maps?q=...842.43368573600263,-7.558145011562892
SOBRADO;43.05188481464597;-7.995908171244839;https://www.google.com/maps?q=...843.05188481464597,-7.995908171244839
SOUTOMAIOR;42.33184492439988;-8.56741304447946;https://www.google.com/maps?q=...842.33184492439988,-8.56741304447946
TABOADA;42.714909616310635;-7.765671742083125;https://www.google.com/maps?q=...842.714909616310635,-7.765671742083125
TABOADELA;42.26484378935048;-7.815714580639481;https://www.google.com/maps?q=...842.26484378935048,-7.815714580639481
TEO;42.81134657916308;-8.568330767065136;https://www.google.com/maps?q=...842.81134657916308,-8.568330767065136
TOEN;42.31758742554449;-7.963736189120425;https://www.google.com/maps?q=...842.31758742554449,-7.963736189120425
TOMINO;42.010804832111404;-8.733649926662189;https://www.google.com/maps?q=...842.010804832111404,-8.733649926662189
TOQUES;42.97111823841762;-7.960295456777762;https://www.google.com/maps?q=...842.97111823841762,-7.960295456777762
TORDOIA;43.1056834816302;-8.574940616731439;https://www.google.com/maps?q=...843.1056834816302,-8.574940616731439
TOURO;42.862027913784864;-8.302342084344136;https://www.google.com/maps?q=...842.862027913784864,-8.302342084344136
TRABADA;43.445778855687884;-7.134106783192074;https://www.google.com/maps?q=...843.445778855687884,-7.134106783192074
TRASMIRAS;42.03203902608516;-7.62077317315681;https://www.google.com/maps?q=...842.03203902608516,-7.62077317315681
TRAZO;43.02376079247874;-8.565342915923415;https://www.google.com/maps?q=...843.02376079247874,-8.565342915923415
TRIACASTELA;42.7681411499259;-7.230566622887052;https://www.google.com/maps?q=...842.7681411499259,-7.230566622887052
TUI;42.09367267489639;-8.643390221403221;https://www.google.com/maps?q=...842.09367267489639,-8.643390221403221
VAL DO DUBRA;43.03758659145401;-8.645406090683194;https://www.google.com/maps?q=...843.03758659145401,-8.645406090683194
VALDOVINO;43.58932641300895;-8.161473335779615;https://www.google.com/maps?q=...843.58932641300895,-8.161473335779615
